EASTING	NORTHING	GAUGE_NAME	newcrain2k										
367321	607232	MD_90_CARTERHOUSE_qc.txt	2169										
389297	606260	EA_06_linbriggs_auto_qc.txt	2126										
423574	605900	EA_06_warkworth_w_wks_auto_qc.txt	2143										
374949	603066	EA_06_catcleugh_nursery_qc.txt	2064										
405837	602015	EA_06_rothbury_qc.txt	2026										
368094	600996	MD_90_KIELDERHEAD_MOOR_NNR_qc.txt	1953										
382441	599021	MD_49_REDESDALE_CAMP_qc.txt	1960										
365790	595861	EA_06_ridge_end_auto_qc.txt	1844										
405208	593767	EA_06_font_resr_p_sta_auto_qc.txt	1810										
363275	593463	MD_90_KIELDER_CASTLE_qc.txt	1789										
420078	591018	MD_90_MORPETH__COCKLE_PARK_qc.txt	1763										
397590	590300	EA_06_harwood_burn_qc.txt	1698										
430528	586881	EA_06_newbiggin_s_wks_auto_qc.txt	1606										
403636	584441	EA_06_wallington_logger_st_qc.txt	1539										
376157	583204	EA_06_chirdon_logger_qc.txt	1525										
429500	582190	EA_06_blyth_s_wks_no_2_qc.txt	1498										
369326	577721	EA_06_coalburn_whitehill_log_qc.txt	1360										
355894	577422	EA_06_crewe_fell_f.h._tel_qc.txt	1353										
364767	572974	MD_49_SPADEADAM_NO_2_qc.txt	1195										
435406	572604	EA_06_marine_first_school_qc.txt	1231										
414691	571218	EA_06_long_meadows_qc.txt	1220										
402002	571076	EA_06_dewlaw_qc.txt	1214										
364299	570387	EA_06_wileysike_gland_tel_qc.txt	1141										
407771	569502	MD_90_ALBEMARLE_qc.txt	1163										
420282	567317	EA_06_farne_school_qc.txt	1115										
425344	567262	EA_06_jesmond_dene_logger_qc.txt	1118										
433648	566236	EA_06_howdon_s_wks_no_2_auto_qc.txt	1068										
352991	565360	EA_06_walton_h.f._log_qc.txt	1027										
368011	564061	EA_06_haltwhistle_auto_qc.txt	981										
425893	564784	MD_49_NEWCASTLE_WEAT_qc.txt	1010										
389891	562840	EA_06_firtrees_qc.txt	938										
438942	560660	EA_06_fulwell_p_sta_auto_qc.txt	908										
439021	556644	MD_49_SUNDERLAND_UNI_qc.txt	801										
432810	555629	EA_06_washington_s_wks_qc.txt	797										
354603	555103	EA_06_castle_carrock_tel_qc.txt	758										
366510	553048	EA_06_knarsdale_logger_qc.txt	710										
417715	552717	EA_06_east_kyo_farm_qc.txt	682										
412432	548338	EA_06_knitlsey_mill_stw_qc.txt	571										
440845	547848	EA_06_north_dalton_p_sta_qc.txt	585										
371649	546607	EA_06_alston_s_wks_auto_qc.txt	497										
385857	545609	EA_06_allen_lodge_qc.txt	504										
378380	543350	EA_06_mill_cottage_qc.txt	446										
360978	542886	EA_06_haresceugh_ctle_log_qc.txt	383										
366848	542338	EA_06_hartside_logger_qc.txt	386										
442523	540893	EA_06_peterlee_p_sta_auto_qc.txt	370										
426799	541531	MD_49_DURHAM_qc.txt	416										
406370	540768	EA_06_tunstall_resr_auto_qc.txt	352										
384987	539267	EA_06_burnhope_resr_auto_qc.txt	341										
375739	538697	EA_06_noonstones_hill_qc.txt	283										
385099	539141	MD_90_BURNHOPE_RESR_qc.txt	342										
383824	532005	EA_06_greenhills_farm_auto_qc.txt	125										
381649	529069	EA_06_cow_green_no_1_auto_qc.txt	70										
