EASTING	NORTHING	GAUGE_NAME	RASTERVALU
444885	441620	EA_06_bramham_logger_qc.txt	7738
445009	441637	MD_49_BRAMHAM_qc.txt	7739
377130	440690	EA_06_mearley_qc.txt	7705
387224	439425	EA_06_colne_swinden_log_qc.txt	7629
369306	438852	MD_49_STONYHURST_qc.txt	7620
452942	438048	MD_49_CHURCH_FENTON_qc.txt	7661
427139	437383	EA_06_headingley_logger_qc.txt	7568
492160	437203	EA_06_newbald_becksies_tbr_qc.txt	7600
401680	437035	EA_06_lower_laithe_logger_qc.txt	7555
511456	435546	EA_06_great_culvert_logger_qc.txt	7528
408987	434976	MD_49_BINGLEY__NO_2_qc.txt	7478
415110	435215	MD_90_BRADFORD_qc.txt	7481
504791	434188	EA_06_cottingham_logger_qc.txt	7525
405080	433439	EA_06_thornton_res_logger_qc.txt	7395
396346	433566	EA_06_walshaw_dean_lodge_tbr_qc.txt	7391
429078	433834	MD_49_LEEDS_WEATHER__qc.txt	7488
424644	432451	EA_06_farnley_hall_logger_qc.txt	7405
394574	431250	EA_06_gorple_logger_qc.txt	7309
432565	431543	EA_06_knostrop_logger_qc.txt	7327
512394	431260	MD_90_HULL__EAST_PARK_qc.txt	7366
507532	429026	MD_90_HULL__WEST_PARK_qc.txt	7283
381591	427524	EA_06_loveclough_tbr_qc.txt	7141
387258	424742	EA_06_bacup_telegen_log_qc.txt	7062
391203	423106	EA_06_gorpley_tbr_qc.txt	6983
367908	422127	EA_06_darwen_sunnyhurst_qc.txt	6972
422026	422486	EA_06_heckmondwike_logger_qc.txt	6998
376657	422605	EA_06_holden_wood_tel_qc.txt	6976
376791	422565	MD_90_HOLDEN_WOOD_RESR_NO_2_qc.txt	6976
379360	420662	EA_06_rossendale_wwtw_qc.txt	6896
434704	420493	EA_06_wakefield_logger_qc.txt	6923
509490	419960	EA_06_goxhill_qc.txt	6960
388131	418588	EA_06_cowm_reservoir_auto_qc.txt	6820
383642	418431	EA_06_her_hill_log_qc.txt	6818
396807	417884	EA_06_blackstone_edge_reservoir_2_qc.txt	6824
405045	417810	EA_06_ringstone_logger_qc.txt	6828
414377	416409	MD_90_KIRKLEES_COUNCIL_qc.txt	6752
488829	416446	MD_90_NORMANBY_HALL_qc.txt	6788
399889	415506	EA_06_great_walden_edge_no.2_tbr_qc.txt	6744
440241	414779	MD_90_RYHILL_qc.txt	6683
369461	414420	EA_06_dingle_r_qc.txt	6649
396217	412403	EA_06_kitcliffe_log_qc.txt	6581
370953	412620	EA_06_sweetloves_wwtw_qc.txt	6568
388386	412397	MD_49_ROCHDALE_qc.txt	6577
422130	412859	MD_90_EMLEY_MOOR_NO_2_qc.txt	6593
415489	412218	EA_06_ludhill_farm_qc.txt	6590
483520	411260	EA_06_keadby_rain_qc.txt	6623
399644	410200	EA_06_broadhead_noddle_log_qc.txt	6501
404777	410675	EA_06_butterley_tbr_qc.txt	6504
448382	410712	EA_06_south_emsall_logger_qc.txt	6525
474930	409800	EA_06_dirtness_ps_rain_qc.txt	6538
427309	408419	EA_06_cannon_hall_logger_qc.txt	6434
380442	407894	EA_06_bury_s.wks_log_qc.txt	6411
374197	407113	MD_90_BOLTON__LEVER_EDGE_qc.txt	6408
411735	406210	EA_06_brownhills_logger_qc.txt	6345
499600	405280	EA_06_cadney_qc.txt	6388
378893	405532	MD_90_BURY__CLARKES_HILL_qc.txt	6329
376722	404896	EA_06_ringley_s.wks_tel_qc.txt	6247
399157	404322	EA_06_greenfield_s.wks_log_qc.txt	6258
382636	404301	EA_06_heaton_park_log_qc.txt	6250
463380	403110	EA_06_nutwell_wrw_qc.txt	6289
440834	403547	EA_06_wombwell_stw_logger_qc.txt	6278
371928	402805	EA_06_worsley_qc.txt	6164
363296	402290	MD_90_HINDLEY_GREEN_qc.txt	6160
519783	401673	EA_06_beelsby_qc.txt	6236
421668	400499	EA_06_langsett_logger_qc.txt	6107
366865	400032	EA_06_bedford_p.stn_tel_qc.txt	6080
481370	399410	EA_06_owston_ferry_rain_qc.txt	6136
407773	399253	EA_06_woodhead_reservoir_tel_qc.txt	6100
465995	398823	MD_49_FINNINGLEY_qc.txt	6129
437195	398348	EA_06_harley_logger_qc.txt	6034
401151	397185	EA_06_arnfield_reservoir_log_qc.txt	6016
383501	396725	MD_49_MANCHESTER__HU_qc.txt	5926
375802	396100	EA_06_davyhulme_s.wks_log_qc.txt	5923
391123	395737	EA_06_denton_raingauge_tel_qc.txt	5930
404375	395638	EA_06_swineshaw_qc.txt	5937
444129	395009	MD_49_ROTHERHAM__BRI_qc.txt	5956
376614	392651	EA_06_carrington_lane_log_qc.txt	5761
453800	390300	EA_06_maltby_wrw_qc.txt	5718
515160	390410	EA_06_tealby_qc.txt	5748
474355	390490	MD_90_GRINGLEY-ON-THE-HILL_qc.txt	5728
417460	389880	EA_06_derwent_reservoir_qc.txt	5700
471140	389330	EA_06_wiseton_qc.txt	5726
405389	388055	EA_06_kinder_filters_tel_qc.txt	5613
372678	387512	EA_06_dunham_massey_log_qc.txt	5597
358252	387174	EA_06_gatewarth_stw_qc.txt	5590
362124	387278	EA_06_rfh_tbr_qc.txt	5592
487640	386850	EA_06_upton_qc.txt	5653
434023	387249	MD_90_SHEFFIELD_qc.txt	5627
434220	387473	MD_90_SHEFFIELD_UNIVERSITY_qc.txt	5627
426823	385654	EA_06_redmires_logger_qc.txt	5543
443256	385783	EA_06_woodhouse_mill_logge_qc.txt	5551
381527	384383	MD_49_RINGWAY_qc.txt	5439
374764	384834	MD_90_ROSTHERNE__qc.txt	5517
374772	384837	MD_90_ROSTHERNE_NO_2__qc.txt	5517
430416	384096	EA_06_ringinglow_tbr_qc.txt	5463
389910	382466	MD_90_WOODFORD_qc.txt	5444
510310	381250	EA_06_wickenby_qc.txt	5421
430780	380906	EA_06_dore_logger_qc.txt	5383
496982	379881	MD_49_SCAMPTON_qc.txt	5334
406890	379430	EA_06_chapel_reservoir_qc.txt	5290
460850	379100	EA_06_manton_qc.txt	5316
389738	378186	EA_06_prestbury_s.wks_tel_qc.txt	5200
428150	376880	EA_06_barbrook_qc.txt	5219
433550	372706	EA_06_linacre_logger_qc.txt	5060
400172	371913	EA_06_cat_and_fiddle_tel_qc.txt	4963
479750	371100	EA_06_high_marnham_qc.txt	5001
394897	371424	EA_06_langley_bottom_tel_qc.txt	4960
420070	369870	EA_06_ashford_hall_qc.txt	4891
459120	369910	EA_06_gleadthorpe_qc.txt	4910
406630	366620	EA_06_hollinsclough_qc.txt	4804
437834	366533	EA_06_wingerworth_logger_qc.txt	4819
498952	365231	MD_49_WADDINGTON_qc.txt	4768
393081	363623	EA_06_hug_bridge_qc.txt	4635
434999	362891	MD_49_ASHOVER_NO_2_qc.txt	4656
438010	359850	EA_06_ogston_res_qc.txt	4576
451030	359510	EA_06_sutton-in-ashfield_qc.txt	4501
401440	358932	MD_90_LEEK__THORNCLIFFE_qc.txt	4477
399370	358340	EA_06_tittesworth_rain_qc.txt	4476
385189	357563	EA_06_mow_cop_tel_qc.txt	4388
366464	357446	EA_06_worleston_stw_tel_qc.txt	4379
389706	356425	EA_06_rock_end_qc.txt	4390
382971	355007	EA_06_kidsgrove_log_qc.txt	4306
422900	355270	EA_06_longcliffe_qc.txt	4326
492390	354240	EA_06_brant_broughton_qc.txt	4360
475990	354110	EA_06_staythorpe_qc.txt	4352
364866	354327	MD_90_NANTWICH__REASEHEATH_HALL_qc.txt	4297
454370	353620	EA_06_newstead_abbey_qc.txt	4341
355203	351172	EA_06_cholmondeley_tel_qc.txt	4131
424160	350060	EA_06_carsington_dam_qc.txt	4164
509080	350530	EA_06_ruskington_qc.txt	4206
500556	349240	MD_49_CRANWELL_qc.txt	4121
394465	349195	MD_90_CELLARHEAD_qc.txt	4069
463760	348730	EA_06_calverton_qc.txt	4103
405860	348000	EA_06_cauldon_low_qc.txt	4074
439180	347370	EA_06_denby_pottery_qc.txt	4010
417380	346540	EA_06_ashbourne_st.oswalds_qc.txt	3999
401380	346666	EA_06_kingsley_qc.txt	3991
450340	345620	EA_06_watnall_mo_qc.txt	4015
450425	345561	MD_49_NOTTINGHAM__WA_qc.txt	4015
462640	345060	EA_06_lambley_qc.txt	3940
382044	344665	MD_49_KEELE_qc.txt	3901
381776	344888	MD_90_KEELE__UNIVERSITY_ROOF_qc.txt	3901
369154	340972	EA_06_mere_farm_tel_qc.txt	3732
428400	340260	EA_06_meynell_langley_qc.txt	3761
461330	339380	EA_06_colwick_qc.txt	3777
397390	339510	EA_06_cresswell_rain_qc.txt	3746
507520	338270	EA_06_osbournby_qc.txt	3719
357240	335060	EA_06_prees_qc.txt	3484
374700	334200	EA_06_loggerheads_qc.txt	3492
443100	333580	EA_06_draycott_rain_qc.txt	3526
473380	333900	EA_06_langar_qc.txt	3540
492710	333380	EA_06_saltersford_qc.txt	3550
409400	333800	EA_06_uttoxeter_rain_qc.txt	3509
387760	332060	EA_06_stone_qc.txt	3418
510500	327540	EA_06_dunsby_qc.txt	3315
450540	326820	EA_06_sutton_bonnington_qc.txt	3205
450622	326761	MD_49_SUTTON_BONINGT_qc.txt	3205
426530	325910	EA_06_clay_mills_qc.txt	3193
499210	324650	EA_06_corby_glen_qc.txt	3148
480770	324600	EA_06_waltham_on_the_wolds_qc.txt	3139
407520	323300	EA_06_blithfield_qc.txt	3103
417380	323470	EA_06_byrkley_qc.txt	3108
366510	323330	EA_06_ercall_qc.txt	3083
517110	322510	EA_06_guthram_gowt_qc.txt	3076
381570	322430	EA_06_hollies_qc.txt	3010
355390	322032	MD_49_SHAWBURY_qc.txt	2997
460910	321530	EA_06_burton-on-the-wolds_qc.txt	3048
448392	320620	MD_49_SHEPSHED_qc.txt	2961
492920	319720	EA_06_south_witham_qc.txt	2983
371227	320243	MD_90_NEWPORT_(SALOP)_qc.txt	2923
445970	315880	EA_06_mount_st._bernards_qc.txt	2798
467910	315360	EA_06_brooksby_qc.txt	2809
400502	315401	EA_06_cannock_rg_qc.txt	2776
429080	314890	EA_06_overseal_qc.txt	2790
490997	315222	MD_49_COTTESMORE_qc.txt	2820
424404	315546	MD_90_COTON-IN-THE-ELMS_qc.txt	2787
483470	314630	EA_06_whissendine_qc.txt	2816
361590	313500	EA_06_rushmoor_w.r.w_qc.txt	2676
392070	311590	EA_06_rodbaston_qc.txt	2610
473000	310880	EA_06_thorpe_satchville_qc.txt	2649
459750	311470	EA_06_wanlip_qc.txt	2643
413800	310050	EA_06_lichfield_rain_qc.txt	2539
483850	306470	EA_06_braunston_an_qc.txt	2492
506920	306510	EA_06_stamford_qc.txt	2504
447210	306620	EA_06_thornton_qc.txt	2475
378020	304670	EA_06_cosford_qc.txt	2360
514220	305120	EA_06_etton_qc.txt	2426
462540	304140	EA_06_evington_qc.txt	2320
403800	304140	EA_06_walsall_wood_qc.txt	2291
459601	303167	MD_90_LEICESTER_UNIVERSITY_qc.txt	2319
441120	302976	MD_90_MARKET_BOSWORTH__BOSWORTH_PA_qc.txt	2310
504441	302584	MD_90_WITTERING_qc.txt	2341
389910	301620	EA_06_barnhurst_qc.txt	2204
368160	299940	EA_06_willey_qc.txt	2112
431790	298020	EA_06_atherstone_qc.txt	2062
391425	298696	MD_90_WOLVERHAMPTON_qc.txt	2123
501210	297400	EA_06_kingscliffe_qc.txt	2096
454300	296550	EA_06_littlethorpe_rain_qc.txt	2073
479540	295960	EA_06_hallaton_qc.txt	2004
465770	294540	EA_06_fleckney_qc.txt	1998
420640	293890	EA_06_lea_marston_qc.txt	1895
386870	293720	EA_06_the_bratch_qc.txt	1878
441980	292690	EA_06_hinckley_qc.txt	1905
490660	288890	EA_06_corby_qc.txt	1767
409150	288010	EA_06_saltley_qc.txt	1727
361637	287030	EA_06_burwarton_qc.txt	1623
430043	287105	EA_06_corley_qc.txt	1656
421219	286943	MD_49_COLESHILL_qc.txt	1652
477390	286760	EA_06_dingley_qc.txt	1679
404580	286343	MD_49_EDGBASTON_qc.txt	1644
494830	284710	EA_06_brigstock_qc.txt	1607
464480	284810	EA_06_husbands_bosworth_qc.txt	1592
391820	284950	EA_06_lye_qc.txt	1557
417698	283814	MD_49_ELMDON_qc.txt	1569
405330	284008	MD_49_WINTERBOURNE___qc.txt	1563
405113	284232	MD_90_WINTERBOURNE_NO2_qc.txt	1563
512020	282390	EA_06_great_gidding_qc.txt	1534
473410	282370	EA_06_great_oxendon_qc.txt	1515
431718	280770	MD_49_COVENTRY__COUN_qc.txt	1414
400720	280150	EA_06_frankley_qc.txt	1399
459583	280259	EA_06_stanford_res_qc.txt	1428
520178	279575	MD_49_MONKS_WOOD_qc.txt	1376
377280	278930	EA_06_trimpley_qc.txt	1306
414730	278860	EA_06_tudor_grange_qc.txt	1325
384500	277840	EA_06_kidderminster_greenhill_rain_event_qc.txt	1310
446065	277380	EA_06_kings_newnham_qc.txt	1259
396640	277940	EA_06_waseley_hills_qc.txt	1316
401118	276664	MD_90_LONGBRIDGE_qc.txt	1237
450821	274811	MD_90_RUGBY_qc.txt	1180
433518	273951	EA_06_finham_qc.txt	1172
445726	273538	MD_49_CHURCH_LAWFORD_qc.txt	1178
403177	271748	EA_06_alvechurch_qc.txt	1076
363130	271330	EA_06_bickley_qc.txt	975
482650	271200	EA_06_hannington_qc.txt	1034
468180	270360	EA_06_ravensthorpe_qc.txt	1027
384650	269780	EA_06_hartlebury_qc.txt	986
475890	268640	EA_06_pitsford_qc.txt	950
415494	267906	EA_06_henley-in-arden_qc.txt	920
490700	267360	EA_06_wellingborough_qc.txt	957
501501	267450	EA_06_yelden_stw_(t)_qc.txt	962
434101	266390	EA_06_redhouse_qc.txt	848
453104	265845	EA_06_braunston_mc_qc.txt	857
476586	264463	MD_90_NORTHAMPTON__MOULTON_PARK_qc.txt	788
458440	261970	EA_06_daventry_qc.txt	698
404603	261093	MD_90_ASTWOOD_BANK_qc.txt	591
472900	259590	EA_06_duston_mill_qc.txt	624
505078	259868	MD_90_BEDFORD_qc.txt	640
388080	258190	EA_06_hindlip_qc.txt	502
486720	257410	EA_06_yardley_hastings_qc.txt	550
360965	256525	EA_06_bredenbury_telemetry_rg_qc.txt	407
427095	256470	EA_06_wellesbourne_qc.txt	440
427227	256494	MD_90_WELLESBOURNE_qc.txt	440
393455	255757	EA_06_crowle_qc.txt	423
462440	255090	EA_06_litchborough_qc.txt	457
456690	254490	EA_06_preston_capes_qc.txt	373
477520	254740	EA_06_quinton_qc.txt	383
371900	253480	EA_06_suckley_qc.txt	332
452349	252546	EA_06_byfield_stw_auto_qc.txt	290
418174	252979	EA_06_milcote_qc.txt	354
488751	252663	EA_06_olney_qc.txt	308
397360	249969	MD_49_PERSHORE_qc.txt	182
401847	249158	EA_06_sheriffs_lench_qc.txt	184
471687	248776	EA_06_towcester_s_wks_qc.txt	219
470539	248131	MD_90_TOWCESTER_qc.txt	137
379214	247009	MD_49_GREAT_MALVERN_qc.txt	92
